dataset,bandwidth,q,d2,d2_ceiling,mean_offdiag,std_offdiag,fid_near,fid_far,near_far_ratio,kernel_alive,n
pendigits,0.25,8,5.351224674332798,6,0.03365763830357937,0.11958097960460587,0.5363168089667641,0.014197772237419656,37.77471563836242,True,32
pendigits,0.5,2,5.351224674332798,6,0.2751157149417976,0.25024952252593996,0.9494859070651775,0.1186672042016034,8.001249489725051,True,32
pendigits,0.5,3,5.351224674332798,6,0.16124218407893393,0.18246940928168948,0.7739260000264397,0.19007122931140735,4.071768267245019,True,32
pendigits,0.5,4,5.351224674332798,6,0.0888115171510204,0.16108783580667282,0.6899015925885699,0.08889598690945776,7.760773197683802,True,32
pendigits,0.5,5,5.351224674332798,6,0.0588656889186115,0.14003678079371884,0.6111100695324402,0.05918543254195957,10.325346006370623,True,32
pendigits,0.5,6,5.351224674332798,6,0.03126276768367944,0.0980615777811046,0.42128073772933455,0.0241590655813367,17.43779105657055,True,32
pendigits,0.5,7,5.351224674332798,6,0.01971777615986031,0.08202325253746462,0.3115659374423786,0.012824472338556474,24.2946399054301,False,32
pendigits,0.5,8,5.351224674332798,6,0.01406790109816654,0.0702747031462422,0.24492653287368743,0.0060719084698026855,40.337652336456685,False,32
pendigits,1.0,2,5.351224674332798,6,0.285075744873232,0.2479984446803635,0.8678666148301207,0.2264777887879134,3.832016461635627,True,32
pendigits,1.0,3,5.351224674332798,6,0.15681344689696508,0.19149697091118625,0.5753235729114144,0.19037251948646622,3.022093600816765,True,32
pendigits,1.0,4,5.351224674332798,6,0.07815109700602861,0.1283327108051687,0.4914955701476177,0.07272060550124976,6.758683687516476,True,32
pendigits,1.0,5,5.351224674332798,6,0.04554222160656306,0.10039565789194237,0.4068318861439856,0.01980148023680023,20.545528984641532,True,32
pendigits,1.0,6,5.351224674332798,6,0.02315485202069737,0.06968038546736743,0.24909606274127785,0.013580522699254052,18.342155766578863,False,32
pendigits,1.0,7,5.351224674332798,6,0.01420245331920874,0.06012700036642077,0.18540369036858503,0.00736788938513033,25.16374509405117,False,32
pendigits,1.0,8,5.351224674332798,6,0.009348574305619686,0.047571398105148544,0.14241048324095912,0.0038698767511477876,36.79974645154289,False,32
pendigits,2.0,2,5.351224674332798,6,0.2453153050910389,0.21247195187324955,0.5584289898854206,0.29520007790381564,1.8916966209858934,False,32
pendigits,2.0,3,5.351224674332798,6,0.12815866914928614,0.13611016709295579,0.18465891438453558,0.13419036611752466,1.3760966582564524,False,32
pendigits,2.0,4,5.351224674332798,6,0.05986267189534176,0.07256135384043767,0.09727064883742219,0.05819457245905342,1.6714728664062837,False,32
pendigits,2.0,5,5.351224674332798,6,0.03573293101620658,0.05261397233163293,0.056104244897740095,0.029033672181333164,1.9323854229439024,False,32
pendigits,2.0,6,5.351224674332798,6,0.01664619889235406,0.02846131055945529,0.024980993154346463,0.015182577404768144,1.6453723559809477,False,32
pendigits,2.0,7,5.351224674332798,6,0.008958543204157208,0.017795225172136112,0.020995726727652632,0.006756928194038693,3.1072887153331203,False,32
