dataset,encoding,reps,q,n_features,d2,d2_ceiling,pca95,mean_offdiag,std_offdiag,fid_near,fid_far,near_far_ratio,kernel_alive,note,n
breast_cancer,iqp,1,4,4,2.487611052827032,3,10,0.20673284462131056,0.20668866634066327,0.4192882642555145,0.020248680103784087,20.70694297635517,True,"IQP, linear CP",32
breast_cancer,iqp,1,5,5,2.487611052827032,3,10,0.13267605699162416,0.1563299993737453,0.29549854763747047,0.006216243012864526,47.53651796204487,True,"IQP, linear CP",32
breast_cancer,iqp,1,6,6,2.487611052827032,3,10,0.08334903113866036,0.11608153304836012,0.22150531471377527,0.004903527275695563,45.172648638393646,False,"IQP, linear CP",32
breast_cancer,iqp,1,7,7,2.487611052827032,3,10,0.04260355153292787,0.06911767752220223,0.10583803605122628,0.003111863534789441,34.011143119869374,False,"IQP, linear CP",32
breast_cancer,iqp,1,8,8,2.487611052827032,3,10,0.030479896147043717,0.05687113890453233,0.08322048360211463,0.0013710190776346164,60.69972691094333,False,"IQP, linear CP",32
moons,zz,1,2,2,0.7203213491478936,2,19,0.24583587957959718,0.23098669467578134,0.7678498182355108,0.2056344418268768,3.7340525809482927,True,"ZZ, one layer",32
moons,zz,1,3,3,0.7203213491478936,2,19,0.13185361091877898,0.15009353718715474,0.2973413406383548,0.13866062303276522,2.144381974744868,True,"ZZ, one layer",32
moons,zz,1,4,4,0.7203213491478936,2,19,0.07542519434806565,0.10236560609760705,0.20387767353256336,0.0536974409367828,3.796785656370208,False,"ZZ, one layer",32
moons,zz,1,5,5,0.7203213491478936,2,19,0.03477597709291696,0.054340038195654104,0.08077899693470278,0.019301452555954144,4.185125274925691,False,"ZZ, one layer",32
moons,zz,1,6,6,0.7203213491478936,2,19,0.015951150411759384,0.03275792011088783,0.025503462154246415,0.009856129935724153,2.58757365421975,False,"ZZ, one layer",32
moons,zz,1,7,7,0.7203213491478936,2,19,0.008744134500497451,0.01773498178881919,0.014264772251221063,0.004333052898676605,3.292083568972304,False,"ZZ, one layer",32
moons,zz,1,8,8,0.7203213491478936,2,19,0.0040625556825890086,0.010000444716174029,0.006609679294876802,0.002558828338904158,2.583088202668358,False,"ZZ, one layer",32
moons,zz,2,2,2,0.7203213491478936,2,19,0.26378858601643645,0.23380355167735523,0.6397459944404631,0.35929826457954156,1.7805429569472244,False,"ZZ, two layers",32
moons,zz,2,3,3,0.7203213491478936,2,19,0.16160855128245738,0.15387372416331227,0.3321133146381326,0.19774928556754628,1.6794665714465546,False,"ZZ, two layers",32
moons,zz,2,4,4,0.7203213491478936,2,19,0.08017574040835625,0.09797057287128175,0.182123389444436,0.06793664624242614,2.6807827515439047,False,"ZZ, two layers",32
